future_code,market,future_name,clock,date,open_price,max_price,min_price,close_price,yesterday_price,buy_price,sell_price,newest_price,buy_amount,sell_amount,amount,volume,everage_price
CU2312,DCE,ͭ2312,104657,12/9/2023,68840,68920,68650,0,68960,68750,68760,68740,1,7,6505,63971,68776.134
CU2312,DCE,ͭ2312,104755,12/9/2023,68840,68920,68650,0,68960,68740,68750,68750,6,1,6520,63963,68776.074
CU2312,DCE,ͭ2312,104858,12/9/2023,68840,68920,68650,0,68960,68730,68750,68740,19,8,6526,63968,68776.042
CU2312,DCE,ͭ2312,104959,12/9/2023,68840,68920,68650,0,68960,68720,68730,68730,4,2,6538,63965,68775.964
CU2312,DCE,ͭ2312,105058,12/9/2023,68840,68920,68650,0,68960,68730,68740,68740,6,2,6593,63972,68775.557
CU2312,DCE,ͭ2312,105159,12/9/2023,68840,68920,68650,0,68960,68730,68740,68730,3,2,6600,63976,68775.511
CU2312,DCE,ͭ2312,105257,12/9/2023,68840,68920,68650,0,68960,68710,68730,68720,8,15,6606,63972,68775.46
CU2312,DCE,ͭ2312,105359,12/9/2023,68840,68920,68650,0,68960,68710,68720,68710,2,12,6630,63969,68775.258
CU2312,DCE,ͭ2312,105459,12/9/2023,68840,68920,68650,0,68960,68700,68720,68720,6,11,6699,63989,68774.563
CU2312,DCE,ͭ2312,105559,12/9/2023,68840,68920,68650,0,68960,68700,68720,68710,6,9,6711,63992,68774.442
CU2312,DCE,ͭ2312,105659,12/9/2023,68840,68920,68650,0,68960,68710,68720,68710,5,6,6715,63996,68774.405
CU2312,DCE,ͭ2312,105757,12/9/2023,68840,68920,68650,0,68960,68720,68740,68730,20,6,6716,63995,68774.398
CU2312,DCE,ͭ2312,105859,12/9/2023,68840,68920,68650,0,68960,68720,68740,68720,14,8,6718,63994,68774.385
CU2312,DCE,ͭ2312,105954,12/9/2023,68840,68920,68650,0,68960,68710,68730,68730,16,8,6725,63992,68774.333
CU2312,DCE,ͭ2312,110054,12/9/2023,68840,68920,68650,0,68960,68720,68740,68730,14,6,6739,64002,68774.208
CU2312,DCE,ͭ2312,110159,12/9/2023,68840,68920,68650,0,68960,68740,68760,68740,6,29,6761,64001,68774.101
CU2312,DCE,ͭ2312,110258,12/9/2023,68840,68920,68650,0,68960,68750,68770,68750,18,28,6789,63982,68774.001
CU2312,DCE,ͭ2312,110358,12/9/2023,68840,68920,68650,0,68960,68740,68750,68750,6,2,6808,63988,68773.925
CU2312,DCE,ͭ2312,110447,12/9/2023,68840,68920,68650,0,68960,68740,68750,68750,6,17,6809,63989,68773.921
CU2312,DCE,ͭ2312,110556,12/9/2023,68840,68920,68650,0,68960,68740,68760,68730,7,15,6830,63993,68773.839
CU2312,DCE,ͭ2312,110657,12/9/2023,68840,68920,68650,0,68960,68750,68760,68740,1,19,6833,63996,68773.824
CU2312,DCE,ͭ2312,110759,12/9/2023,68840,68920,68650,0,68960,68740,68750,68750,8,9,6834,63996,68773.821
CU2312,DCE,ͭ2312,110844,12/9/2023,68840,68920,68650,0,68960,68710,68740,68730,18,15,6843,64002,68773.775
CU2312,DCE,ͭ2312,110955,12/9/2023,68840,68920,68650,0,68960,68710,68730,68730,18,8,6886,63994,68773.497
CU2312,DCE,ͭ2312,111055,12/9/2023,68840,68920,68650,0,68960,68710,68730,68730,6,21,6886,63994,68773.497
CU2312,DCE,ͭ2312,111159,12/9/2023,68840,68920,68650,0,68960,68730,68750,68730,5,23,6894,63993,68773.445
CU2312,DCE,ͭ2312,111255,12/9/2023,68840,68920,68650,0,68960,68730,68750,68730,11,12,6894,63993,68773.445
CU2312,DCE,ͭ2312,111357,12/9/2023,68840,68920,68650,0,68960,68740,68750,68740,9,5,6898,63990,68773.43
CU2312,DCE,ͭ2312,111457,12/9/2023,68840,68920,68650,0,68960,68720,68740,68740,23,9,6902,63990,68773.411
CU2312,DCE,ͭ2312,111555,12/9/2023,68840,68920,68650,0,68960,68720,68730,68730,1,10,6913,63992,68773.342
CU2312,DCE,ͭ2312,111659,12/9/2023,68840,68920,68650,0,68960,68710,68730,68710,17,29,6921,63988,68773.278
CU2312,DCE,ͭ2312,111756,12/9/2023,68840,68920,68650,0,68960,68720,68730,68710,1,30,6921,63988,68773.278
CU2312,DCE,ͭ2312,111856,12/9/2023,68840,68920,68650,0,68960,68700,68720,68720,21,7,6922,63988,68773.271
CU2312,DCE,ͭ2312,111959,12/9/2023,68840,68920,68650,0,68960,68710,68720,68710,3,8,6926,63988,68773.234
CU2312,DCE,ͭ2312,112056,12/9/2023,68840,68920,68650,0,68960,68700,68720,68710,1,9,6937,63984,68773.132
CU2312,DCE,ͭ2312,112158,12/9/2023,68840,68920,68650,0,68960,68690,68700,68690,13,3,6958,63988,68772.896
CU2312,DCE,ͭ2312,112257,12/9/2023,68840,68920,68650,0,68960,68700,68720,68700,16,22,6977,64003,68772.719
CU2312,DCE,ͭ2312,112359,12/9/2023,68840,68920,68650,0,68960,68720,68730,68720,1,38,6987,64013,68772.643
CU2312,DCE,ͭ2312,112457,12/9/2023,68840,68920,68650,0,68960,68710,68730,68720,22,30,6988,64013,68772.636
CU2312,DCE,ͭ2312,112559,12/9/2023,68840,68920,68650,0,68960,68690,68710,68720,8,18,6988,64013,68772.636
CU2312,DCE,ͭ2312,112658,12/9/2023,68840,68920,68650,0,68960,68680,68700,68690,18,12,6998,64018,68772.516
CU2312,DCE,ͭ2312,112759,12/9/2023,68840,68920,68650,0,68960,68660,68670,68680,10,6,7047,64019,68771.848
CU2312,DCE,ͭ2312,112858,12/9/2023,68840,68920,68650,0,68960,68650,68660,68660,12,17,7122,64011,68770.646
CU2312,DCE,ͭ2312,112959,12/9/2023,68840,68920,68650,0,68960,68650,68680,68680,2,4,7180,64007,68769.776
CU2312,DCE,ͭ2312,113000,12/9/2023,68840,68920,68650,0,68960,68650,68680,68680,2,4,7180,64007,68769.776
CU2312,DCE,ͭ2312,113000,12/9/2023,68840,68920,68650,0,68960,68650,68680,68680,2,4,7180,64007,68769.776
CU2312,DCE,ͭ2312,133058,12/9/2023,68840,68920,68610,0,68960,68660,68680,68670,4,6,7465,64131,68764.788
CU2312,DCE,ͭ2312,133157,12/9/2023,68840,68920,68610,0,68960,68670,68690,68690,11,3,7524,64127,68764.207
CU2312,DCE,ͭ2312,133255,12/9/2023,68840,68920,68610,0,68960,68690,68700,68710,7,7,7535,64120,68764.096
CU2312,DCE,ͭ2312,133358,12/9/2023,68840,68920,68610,0,68960,68700,68720,68700,6,74,7585,64154,68763.666
CU2312,DCE,ͭ2312,133458,12/9/2023,68840,68920,68610,0,68960,68720,68740,68740,6,8,7658,64190,68763.282
CU2312,DCE,ͭ2312,133558,12/9/2023,68840,68920,68610,0,68960,68720,68730,68710,14,4,7663,64195,68763.247
CU2312,DCE,ͭ2312,133656,12/9/2023,68840,68920,68610,0,68960,68720,68730,68730,17,11,7668,64196,68763.226
CU2312,DCE,ͭ2312,133754,12/9/2023,68840,68920,68610,0,68960,68730,68740,68730,15,6,7711,64216,68763.022
CU2312,DCE,ͭ2312,133857,12/9/2023,68840,68920,68610,0,68960,68720,68730,68730,7,30,7803,64242,68762.617
CU2312,DCE,ͭ2312,133958,12/9/2023,68840,68920,68610,0,68960,68720,68730,68720,21,32,7826,64254,68762.507
CU2312,DCE,ͭ2312,134058,12/9/2023,68840,68920,68610,0,68960,68720,68730,68730,39,2,7863,64267,68762.311
CU2312,DCE,ͭ2312,134154,12/9/2023,68840,68920,68610,0,68960,68720,68730,68720,4,32,7950,64312,68761.991
CU2312,DCE,ͭ2312,134258,12/9/2023,68840,68920,68610,0,68960,68720,68730,68720,37,39,8031,64327,68761.462
CU2312,DCE,ͭ2312,134356,12/9/2023,68840,68920,68610,0,68960,68710,68730,68720,56,39,8070,64355,68761.264
CU2312,DCE,ͭ2312,134458,12/9/2023,68840,68920,68610,0,68960,68700,68710,68710,1,33,8181,64394,68760.538
CU2312,DCE,ͭ2312,134556,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,51,51,8183,64395,68760.523
CU2312,DCE,ͭ2312,134652,12/9/2023,68840,68920,68610,0,68960,68690,68700,68690,26,64,8216,64396,68760.241
CU2312,DCE,ͭ2312,134757,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,11,13,8338,64452,68759.267
CU2312,DCE,ͭ2312,134858,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,10,70,8430,64427,68758.603
CU2312,DCE,ͭ2312,134957,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,38,27,8498,64421,68758.097
CU2312,DCE,ͭ2312,135057,12/9/2023,68840,68920,68610,0,68960,68710,68720,68710,62,50,8576,64455,68757.528
CU2312,DCE,ͭ2312,135158,12/9/2023,68840,68920,68610,0,68960,68700,68710,68710,1,19,8696,64478,68757.009
CU2312,DCE,ͭ2312,135257,12/9/2023,68840,68920,68610,0,68960,68700,68710,68700,30,1,8822,64468,68756.162
CU2312,DCE,ͭ2312,135356,12/9/2023,68840,68920,68610,0,68960,68690,68710,68710,54,23,8973,64575,68755.226
CU2312,DCE,ͭ2312,135458,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,18,28,9013,64584,68754.941
CU2312,DCE,ͭ2312,135552,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,19,35,9077,64583,68754.541
CU2312,DCE,ͭ2312,135658,12/9/2023,68840,68920,68610,0,68960,68700,68710,68710,13,14,9131,64583,68754.227
CU2312,DCE,ͭ2312,135753,12/9/2023,68840,68920,68610,0,68960,68700,68710,68700,14,1,9192,64598,68753.883
CU2312,DCE,ͭ2312,135856,12/9/2023,68840,68920,68610,0,68960,68700,68710,68700,53,2,9202,64592,68753.827
CU2312,DCE,ͭ2312,135957,12/9/2023,68840,68920,68610,0,68960,68700,68720,68710,54,26,9204,64591,68753.818
CU2312,DCE,ͭ2312,140057,12/9/2023,68840,68920,68610,0,68960,68710,68730,68710,13,25,9349,64602,68753.165
CU2312,DCE,ͭ2312,140155,12/9/2023,68840,68920,68610,0,68960,68700,68710,68700,10,10,9356,64603,68753.127
CU2312,DCE,ͭ2312,140259,12/9/2023,68840,68920,68610,0,68960,68680,68700,68680,47,27,9374,64617,68753.012
CU2312,DCE,ͭ2312,140358,12/9/2023,68840,68920,68610,0,68960,68690,68710,68700,21,21,9384,64622,68752.947
CU2312,DCE,ͭ2312,140459,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,2,21,9385,64623,68752.941
CU2312,DCE,ͭ2312,140554,12/9/2023,68840,68920,68610,0,68960,68660,68680,68670,13,8,9449,64625,68752.425
CU2312,DCE,ͭ2312,140655,12/9/2023,68840,68920,68610,0,68960,68680,68690,68690,9,18,9480,64614,68752.192
CU2312,DCE,ͭ2312,140755,12/9/2023,68840,68920,68610,0,68960,68670,68690,68670,29,18,9492,64617,68752.098
CU2312,DCE,ͭ2312,140858,12/9/2023,68840,68920,68610,0,68960,68670,68680,68680,30,10,9498,64620,68752.049
CU2312,DCE,ͭ2312,140955,12/9/2023,68840,68920,68610,0,68960,68670,68690,68670,24,22,9505,64626,68751.989
