date,future_code,close,open,high,low,deal,categoryID
1/9/2023,CU2312,1631,1554,1640.5,1551,2913,23/10/2023
31/8/2023,CU2312,1546,1526,1549,1517.5,2190,23/10/2023
30/8/2023,CU2312,1524,1473,1525,1466.5,1816,23/10/2023
29/8/2023,CU2312,1475,1507.5,1509,1471.5,1994,23/10/2023
28/8/2023,CU2312,1505.5,1526,1539,1482,2575,23/10/2023
25/8/2023,CU2312,1520,1507.5,1530.5,1503.5,2223,23/10/2023
24/8/2023,CU2312,1509.5,1527,1555,1508,2893,23/10/2023
23/8/2023,CU2312,1530.5,1491,1560,1487.5,3416,23/10/2023
22/8/2023,CU2312,1495.5,1454,1518.5,1439,4053,23/10/2023
21/8/2023,CU2312,1454,1426.5,1461,1397,2669,23/10/2023
18/8/2023,CU2312,1427.5,1416,1434,1405.5,2824,23/10/2023
17/8/2023,CU2312,1413.5,1391,1415.5,1381,2272,23/10/2023
16/8/2023,CU2312,1392.5,1418.5,1424.5,1388.5,2566,23/10/2023
15/8/2023,CU2312,1417,1419.5,1426.5,1383.5,2556,23/10/2023
14/8/2023,CU2312,1401,1422.5,1439.5,1390,2665,23/10/2023
11/8/2023,CU2312,1424.5,1409.5,1432.5,1397,3048,23/10/2023
10/8/2023,CU2312,1396,1414.5,1426,1393,2474,23/10/2023
9/8/2023,CU2312,1408.5,1375.5,1414.5,1367,1824,23/10/2023
8/8/2023,CU2312,1387.5,1416,1420,1382,2469,23/10/2023
7/8/2023,CU2312,1411,1418,1429,1395,3396,23/10/2023
4/8/2023,CU2312,1414.5,1406,1432,1405,2178,23/10/2023
3/8/2023,CU2312,1397,1447,1459.5,1392.5,2482,23/10/2023
2/8/2023,CU2312,1445.5,1440,1470.5,1440,1598,23/10/2023
1/8/2023,CU2312,1441.5,1416,1441.5,1416,1588,23/10/2023
31/7/2023,CU2312,1417,1410.5,1420.5,1391,1614,23/10/2023
28/7/2023,CU2312,1424,1424.5,1455,1395.5,2823,23/10/2023
27/7/2023,CU2312,1440,1458,1476,1434,2147,23/10/2023
26/7/2023,CU2312,1479,1438.5,1487.5,1438,1988,23/10/2023
25/7/2023,CU2312,1435.5,1434,1453,1421.5,1467,23/10/2023
